118	Light bluish green	41	Aqua	B7D7D5	
26	Black	11	Black	1B2A34	
132	[Black Glitter]	111	Speckle Black-Silver		
23	Bright Blue	7	Blue	0D69AB	
37	Bright Green	36	Bright Green	4B974A	
191	Flame yellowish orange	110	Bright Light Orange	E8AB2D	Intro 2004, replaced 105
198	Bright Reddish Lilac	93	Light Purple	8E4285	
301	[Silver]	22	Chrome Silver		
40	Transparent	12	Trans-Clear	ECECEC	
117	[Transparent Glitter]	101	Glitter Trans-Clear		
226	Cool Yellow	103	Bright Light Yellow	FDEA8C	
180	Curry			D7A94B	
308		120	Dark Brown		Dwarf Hair
217	Brown	91	Dark Flesh	7C5C45	
141	Earth Green	80	Dark Green	27462C	
128	Dark Nougat			AE7A59	
38	Dark Orange	68	Dark Orange	A05F34	
22	Med. reddish violet	47	Dark Pink	C470A0	Disc. 2004
154	Dark red	59	Dark Red	7B2E2F	
196	Dark Royal blue	109	Dark Blue-Violet		
199	Dark stone grey	85	Dark Bluish Gray	635F61	
138	Sand yellow	69	Dark Tan	958A73	
232	Dove blue	87	Sky Blue	7DBBDD	
12	Light orange brown	29	Earth Orange	CB8442	
18	Nougat	28	Flesh	CC8E68	
50	Phosp. White	46	Glow In Dark Opaque	ECE8DE	
28	Dark green	6	Green	287F46	
119	Br. yellowish green	34	Lime	A4BD46	
45	Light blue	62	Light Blue	B4D2E3	
283	Light Nougat	90	Light Flesh		
6	Light green	38	Light Green	C2DAB8	
120	Lig. yellowish green	35	Light Lime	D9E4A7	
223	Light Pink			DC9095	
222	Light Purple	104	Bright Pink	E4ADC8	
212	Light Royal blue	105	Bright Light Blue	9FC3E9	
100	Light red	26	Light Salmon	EEC4B6	
208	Light stone grey	99	Very Light Bluish Gray	E5E4DE	
116	Med. bluish green	40	Light Turquoise	55A5AF	
39	Light bluish violet	44	Light Violet	C1CADE	
3	Light yellow	33	Light Yellow	F9E999	Disc. 2003
11	Pastel Blue	72	Maersk Blue		Disc. 2004
124	Bright reddish violet	71	Magenta	923978	
102	Medium blue	42	Medium Blue	6E99C9	
29	Medium green	37	Medium Green	A1C48B	
268	Medium Lilac	89	Dark Purple	342B75	
115	Med. yellowish green	76	Medium Lime	C7D23C	
105	Br. yellowish orange	31	Medium Orange	E29B3F	
213	Medium Royal blue			6C81B7	
194	Medium stone grey	86	Light Bluish Gray	A3A2A4	
183	Metallic White				
140	Earth blue	63	Dark Blue	203A56	
25	Earth Orange	8	Brown	624732	
27	Dark grey	10	Dark Gray	6D6E6C	Disc. 2003
2	Grey	9	Light Gray	A1A5A2	Disc. 2003
106	Bright orange	4	Orange	DA8540	
36	Light Yellowish Orange	96	Very Light Orange	F3CF9B	
145	Sand blue metallic	78	Metal Blue	7988a1	
139	Copper	84	Copper		
148	Dark Grey Metallic	77	Pearl Dark Gray	575857	
297		115	Pearl Gold		new 2006
127	Gold	61	Pearl Light Gold	DCBC81	
131	Silver	66	Pearl Light Gray	9CA3A8	
9	Light reddish violet	23	Pink	E8BAC7	Disc. 2004
104	Bright violet	24	Purple	6B327B	
21	Bright red	5	Red	C4281B	
192	Reddish Brown	88	Reddish Brown	694027	
195	Royal Blue	97	BlueViolet	4667A4	KKII
216	Rust			8F4C2A	
101	Medium red	25	Salmon	DA8679	
135	Sand blue	55	Sand Blue	74869C	
151	Sand green	48	Sand Green	789081	
136	Sand violet	54	Sand Purple	877C90	
153	Sand red	58	Sand Red	957976	
103	Light grey	49	Very Light Gray	C7C1B7	Disc. 2003
111	Tr. Brown	13	Trans-Black	BFB7B1	
5	Brick yellow	2	Tan	D7C599	
107	Bright bluish green	39	Dark Turquoise	008F9B	
43	Tr. Blue	14	Trans-Dark Blue	7BB6E8	
182	Tr. Bright Orange	98	Trans-Orange		
294		118	Glow In Dark Trans		
48	Tr. Green	20	Trans-Green	84B68D	
114		114	Trans-Very Lt Blue		Clikits
42	Tr. Lg blue	15	Trans-Light Blue	C1DFF0	
20	Nature	60	Milky White		
143	Tr. Flu. Blue	74	Trans-Medium Blue	CFE2F7	
49	Tr. Flu. Green	16	Trans-Neon Green	F8F184	
47	Tr. Flu. Reddish orange	18	Trans-Neon Orange	D9856C	
113	Tr. Medi. reddish violet	50	Trans-Dark Pink	E4ADC8	
114	[Tr. Pink Glitter]	100	Glitter Trans-Dark Pink		
126	Tr. Bright bluish violet	51	Trans-Purple	A5A5CB	
129	[Tr. Purple Glitter]	102	Glitter Trans-Purple		
41	Tr. Red	17	Trans-Red	CD544B	
158	Tr. Flu. Red			E1A4C2	
44	Tr. Yellow	19	Trans-Yellow	F7F18D	
112	Medium bluish violet	43	Violet	6874AC	
1	White	1	White	F2F3F2	
24	Bright yellow	3	Yellow	F5CD2F	
221	Bright purple	47	Dark Pink	CD6298	
